AMC,Morning star rating,Value Research rating,1 month return,NAV,1 Year return,3 Year Return,Minimum investment,Fund Manager,AUM,Category,Risk
1,0,0,0.0,47.49,0.0,0.0,500,53,3146,1,11
7,3,3,4.83,358.9,28.85,13.27,1000,54,1109459,2,11
7,3,2,1.12,28.12,8.2,5.12,1000,54,11152,0,6
7,0,2,1.12,28.12,8.2,5.12,1000,54,11152,0,6
7,3,2,0.94,52.84,7.89,4.49,1000,54,11618,0,6
7,0,2,0.94,52.84,7.89,4.49,1000,54,11618,0,6
7,3,3,1.36,72.04,9.32,5.66,1000,54,1171,0,6
7,0,3,1.36,72.04,9.32,5.66,1000,54,1171,0,6
7,4,3,0.56,39.7,7.15,5.67,1000,54,121856,0,4
7,0,0,0.67,11.37,7.29,0.0,1000,54,23824,0,6
7,5,5,0.58,2973.87,7.35,6.02,1000,54,376388,0,4
7,3,4,2.19,92.98,13.06,7.37,1000,54,96897,2,8
7,0,4,2.19,92.98,13.06,7.37,1000,54,96897,2,8
19,0,4,5.17,25.56,35.78,17.47,500,55,87874,3,7
9,4,0,5.13,87.33,34.04,16.55,100,56,108135,1,7
9,4,0,5.14,86.19,34.04,16.56,100,56,108135,1,7
9,4,4,5.14,86.8,34.03,16.52,100,56,108135,1,7
9,0,0,0.68,14.99,9.47,4.43,100,56,10961,3,11
9,0,0,2.88,30.57,16.61,9.68,100,56,11307,3,11
9,0,0,2.34,14.46,17.45,0.0,100,56,11396,3,11
9,4,4,3.53,51.05,25.55,12.6,100,56,1239909,2,11
9,0,0,1.22,32.89,4.7,13.14,100,56,124431,3,11
9,0,2,6.03,20.32,41.47,16.18,100,56,15958,3,1
9,0,0,5.18,10.18,0.0,0.0,100,56,187867,1,11
9,0,0,5.23,16.97,39.44,0.0,100,56,20559,3,11
9,0,0,5.61,22.72,21.75,4.65,100,56,218126,3,11
9,0,0,6.65,15.7,39.12,0.0,100,56,536,3,11
9,0,0,4.15,19.29,58.5,0.0,100,56,63665,3,11
9,0,0,5.31,17.18,64.35,0.0,100,56,6905,3,11
9,0,0,4.13,19.78,20.84,7.54,100,56,7822,3,11
9,0,0,7.92,19.01,52.4,0.0,100,56,7955,3,11
9,0,0,10.13,28.06,16.26,6.47,100,56,7984,3,11
9,0,0,3.96,11.35,0.0,0.0,100,56,9179,3,11
9,0,0,5.06,14.33,26.73,0.0,100,56,9451,3,11
9,0,0,8.44,28.16,36.18,12.44,100,56,96042,1,11
1,4,3,1.05,118.63,8.34,5.47,1000,57,20121,0,6
1,4,4,1.33,77.46,10.01,5.79,1000,57,205376,0,6
1,4,4,1.33,77.46,10.01,5.79,1000,57,205376,0,6
1,0,0,1.43,12.08,10.17,0.0,500,57,13186,0,6
1,0,0,0.66,10.26,0.0,0.0,500,57,197,3,4
1,0,0,0.72,11.14,7.77,0.0,500,57,2857,3,4
1,0,0,0.6,11.5,7.61,0.0,500,57,33733,3,4
1,0,0,0.61,11.57,7.95,0.0,500,57,418524,3,4
1,0,0,0.57,11.27,7.4,0.0,500,57,5136,3,4
1,0,0,0.58,11.48,7.53,0.0,500,57,7628,3,4
1,0,0,1.05,10.73,0.0,0.0,500,57,8785,3,6
23,1,1,4.5,127.63,23.09,9.34,1000,58,21879,2,11
4,0,3,0.53,1307.15,6.71,5.59,100,59,139536,0,2
4,0,0,0.0,0.0,0.0,0.0,100,59,0,3,11
4,0,0,0.48,10.94,6.54,0.0,1000,59,15044,3,11
1,4,3,7.08,228.72,38.96,18.93,100,60,601067,1,1
